id	position	name	GSM2522670
B01R12C01	1-1-12	Hs~MGC:BC016754.1~uORF:IOH13535	222
B01R12C02	1-2-12	Hs~MGC:BC016754.1~uORF:IOH13535	256
B01R12C03	1-3-12	Hs~MGC:BC020966.1~uORF:IOH10379	422
B01R12C04	1-4-12	Hs~MGC:BC020966.1~uORF:IOH10379	4
B01R12C05	1-5-12	Hs~MGC:BC003548.1~uORF:IOH4864	1618
B01R12C06	1-6-12	Hs~MGC:BC003548.1~uORF:IOH4864	1471
B01R12C07	1-7-12	Hs~MGC:BC023569.1~uORF:IOH27860	2832
B01R12C08	1-8-12	Hs~MGC:BC023569.1~uORF:IOH27860	2838
B01R12C09	1-9-12	Hs~MGC:BC053373.1~uORF:IOH28997	687
B01R12C10	1-10-12	Hs~MGC:BC053373.1~uORF:IOH28997	659
B01R12C11	1-11-12	Hs~MGC:BC042912.1~uORF:IOH28030	490
B01R12C12	1-12-12	Hs~MGC:BC042912.1~uORF:IOH28030	432
B01R12C13	1-13-12	Hs~MGC:BC030155.1~uORF:IOH23095	405
B01R12C14	1-14-12	Hs~MGC:BC030155.1~uORF:IOH23095	798
B01R12C15	1-15-12	Hs~Ref:NM_139162.2~uORF:IOH12829	48
B01R12C16	1-16-12	Hs~Ref:NM_139162.2~uORF:IOH12829	55
B01R12C17	1-17-12	Hs~Ref:NM_003764.2~uORF:IOH27407	137
B01R12C18	1-18-12	Hs~Ref:NM_003764.2~uORF:IOH27407	93
B01R12C19	1-19-12	Hs~MGC:BC005305.1~uORF:IOH7363	41
B01R12C20	1-20-12	Hs~MGC:BC005305.1~uORF:IOH7363	66
B01R12C21	1-21-12	Hs~Ref:NM_032514.2~uORF:IOH10043	83
B01R12C22	1-22-12	Hs~Ref:NM_032514.2~uORF:IOH10043	122
B01R13C01	1-1-13	Hs~MGC:BC023144.1~uORF:IOH10881	1626
B01R13C02	1-2-13	Hs~MGC:BC023144.1~uORF:IOH10881	1663
B01R13C03	1-3-13	Hs~Ref:NM_133490.2~uORF:IOH6166	408
B01R13C04	1-4-13	Hs~Ref:NM_133490.2~uORF:IOH6166	50
B01R13C05	1-5-13	Hs~Ref:NM_144671.2~uORF:IOH22844	262
B01R13C06	1-6-13	Hs~Ref:NM_144671.2~uORF:IOH22844	439
B01R13C07	1-7-13	Hs~Ref:NM_001397.1~uORF:IOH42625	600
B01R13C08	1-8-13	Hs~Ref:NM_001397.1~uORF:IOH42625	567
B01R13C09	1-9-13	Hs~MGC:BC070364.1~uORF:IOH62867	414
B01R13C10	1-10-13	Hs~MGC:BC070364.1~uORF:IOH62867	411
B01R13C11	1-11-13	Hs~Ref:NM_019854.3~uORF:IOH60863	260
B01R13C12	1-12-13	Hs~Ref:NM_019854.3~uORF:IOH60863	223
B01R13C13	1-13-13	Hs~MGC:BC069675.1~uORF:IOH61914	225
B01R13C14	1-14-13	Hs~MGC:BC069675.1~uORF:IOH61914	317
B01R13C15	1-15-13	Hs~MGC:BC022073.1~uORF:IOH62089	444
B01R13C16	1-16-13	Hs~MGC:BC022073.1~uORF:IOH62089	262
B01R13C17	1-17-13	Hs~MGC:BC014315.1~uORF:IOH13047	5378
B01R13C18	1-18-13	Hs~MGC:BC014315.1~uORF:IOH13047	3796
B01R13C19	1-19-13	Hs~Ref:NM_138784.1~uORF:IOH13439	65
B01R13C20	1-20-13	Hs~Ref:NM_138784.1~uORF:IOH13439	838
B01R13C21	1-21-13	Hs~Ref:NM_020367.2~uORF:IOH13091	606
B01R13C22	1-22-13	Hs~Ref:NM_020367.2~uORF:IOH13091	548
B01R14C01	1-1-14	Hs~MGC:BC014974.1~uORF:IOH12832	555
B01R14C02	1-2-14	Hs~MGC:BC014974.1~uORF:IOH12832	569
B01R14C03	1-3-14	Hs~Ref:NM_005621.1~uORF:IOH40815	461
B01R14C04	1-4-14	Hs~Ref:NM_005621.1~uORF:IOH40815	491
B01R14C05	1-5-14	Hs~MGC:BC003160.1~uORF:IOH5120	113
B01R14C06	1-6-14	Hs~MGC:BC003160.1~uORF:IOH5120	172
B01R14C07	1-7-14	Hs~MGC:BC032348.1~uORF:IOH21706	258
B01R14C08	1-8-14	Hs~MGC:BC032348.1~uORF:IOH21706	282
B01R14C09	1-9-14	Hs~Ref:NM_145183.1~uORF:IOH5614	360
B01R14C10	1-10-14	Hs~Ref:NM_145183.1~uORF:IOH5614	307
B01R14C11	1-11-14	Hs~Ref:NM_018431.3~uORF:IOH42147	293
B01R14C12	1-12-14	Hs~Ref:NM_018431.3~uORF:IOH42147	405
B01R14C13	1-13-14	Hs~Ref:NM_152721.2~uORF:IOH42262	474
B01R14C14	1-14-14	Hs~Ref:NM_152721.2~uORF:IOH42262	497
B01R14C15	1-15-14	Hs~Ref:NM_172175.1~uORF:IOH42096	150
B01R14C16	1-16-14	Hs~Ref:NM_172175.1~uORF:IOH42096	127
B01R14C17	1-17-14	Hs~Ref:NM_198483.1~uORF:IOH42754	791
B01R14C18	1-18-14	Hs~Ref:NM_198483.1~uORF:IOH42754	838
B01R14C19	1-19-14	Hs~MGC:BC034236.1~uORF:IOH21619	346
B01R14C20	1-20-14	Hs~MGC:BC034236.1~uORF:IOH21619	389
B01R14C21	1-21-14	Hs~Ref:NM_005092.2~uORF:IOH34742	228
B01R14C22	1-22-14	Hs~Ref:NM_005092.2~uORF:IOH34742	149
B01R15C01	1-1-15	Hs~Ref:NM_005142.2~uORF:IOH26056	221
B01R15C02	1-2-15	Hs~Ref:NM_005142.2~uORF:IOH26056	221
B01R15C03	1-3-15	Hs~Ref:NM_018376.2~uORF:IOH7251	279
B01R15C04	1-4-15	Hs~Ref:NM_018376.2~uORF:IOH7251	307
B01R15C05	1-5-15	Hs~Ref:NM_153378.1~uORF:IOH45483	492
B01R15C06	1-6-15	Hs~Ref:NM_153378.1~uORF:IOH45483	512
B01R15C07	1-7-15	Hs~Ref:NM_004058.2~uORF:IOH45954	252
B01R15C08	1-8-15	Hs~Ref:NM_004058.2~uORF:IOH45954	291
B01R15C09	1-9-15	Hs~Ref:NM_181462.1~uORF:IOH45485	1347
B01R15C10	1-10-15	Hs~Ref:NM_181462.1~uORF:IOH45485	1316
B01R15C11	1-11-15	Hs~Ref:NM_017828.2~uORF:IOH45931	411
B01R15C12	1-12-15	Hs~Ref:NM_017828.2~uORF:IOH45931	443
