id	position	name	F635 Median	B635 Median	Intensity
B01R12C16	1-16-12	Hs~Ref:NM_139162.2~uORF:IOH12829	106	51	55
B01R12C17	1-17-12	Hs~Ref:NM_003764.2~uORF:IOH27407	223	86	137
B01R12C18	1-18-12	Hs~Ref:NM_003764.2~uORF:IOH27407	144	51	93
B01R12C19	1-19-12	Hs~MGC:BC005305.1~uORF:IOH7363	93	52	41
B01R12C20	1-20-12	Hs~MGC:BC005305.1~uORF:IOH7363	117	51	66
B01R12C21	1-21-12	Hs~Ref:NM_032514.2~uORF:IOH10043	136	53	83
B01R12C22	1-22-12	Hs~Ref:NM_032514.2~uORF:IOH10043	184	62	122
B01R13C01	1-1-13	Hs~MGC:BC023144.1~uORF:IOH10881	1673	47	1626
B01R13C02	1-2-13	Hs~MGC:BC023144.1~uORF:IOH10881	1704	41	1663
B01R13C03	1-3-13	Hs~Ref:NM_133490.2~uORF:IOH6166	444	36	408
B01R13C04	1-4-13	Hs~Ref:NM_133490.2~uORF:IOH6166	102	52	50
B01R13C05	1-5-13	Hs~Ref:NM_144671.2~uORF:IOH22844	331	69	262
B01R13C06	1-6-13	Hs~Ref:NM_144671.2~uORF:IOH22844	477	38	439
B01R13C07	1-7-13	Hs~Ref:NM_001397.1~uORF:IOH42625	635	35	600
B01R13C08	1-8-13	Hs~Ref:NM_001397.1~uORF:IOH42625	602	35	567
B01R13C09	1-9-13	Hs~MGC:BC070364.1~uORF:IOH62867	453	39	414
B01R13C10	1-10-13	Hs~MGC:BC070364.1~uORF:IOH62867	448	37	411
B01R13C11	1-11-13	Hs~Ref:NM_019854.3~uORF:IOH60863	295	35	260
B01R13C12	1-12-13	Hs~Ref:NM_019854.3~uORF:IOH60863	266	43	223
B01R13C13	1-13-13	Hs~MGC:BC069675.1~uORF:IOH61914	279	54	225
B01R13C14	1-14-13	Hs~MGC:BC069675.1~uORF:IOH61914	407	90	317
B01R13C15	1-15-13	Hs~MGC:BC022073.1~uORF:IOH62089	687	243	444
B01R13C16	1-16-13	Hs~MGC:BC022073.1~uORF:IOH62089	313	51	262
B01R13C17	1-17-13	Hs~MGC:BC014315.1~uORF:IOH13047	5432	54	5378
B01R13C18	1-18-13	Hs~MGC:BC014315.1~uORF:IOH13047	3851	55	3796
B01R13C19	1-19-13	Hs~Ref:NM_138784.1~uORF:IOH13439	118	53	65
B01R13C20	1-20-13	Hs~Ref:NM_138784.1~uORF:IOH13439	891	53	838
B01R13C21	1-21-13	Hs~Ref:NM_020367.2~uORF:IOH13091	664	58	606
B01R13C22	1-22-13	Hs~Ref:NM_020367.2~uORF:IOH13091	601	53	548
B01R14C01	1-1-14	Hs~MGC:BC014974.1~uORF:IOH12832	592	37	555
B01R14C02	1-2-14	Hs~MGC:BC014974.1~uORF:IOH12832	604	35	569
B01R14C03	1-3-14	Hs~Ref:NM_005621.1~uORF:IOH40815	496	35	461
B01R14C04	1-4-14	Hs~Ref:NM_005621.1~uORF:IOH40815	527	36	491
B01R14C05	1-5-14	Hs~MGC:BC003160.1~uORF:IOH5120	151	38	113
B01R14C06	1-6-14	Hs~MGC:BC003160.1~uORF:IOH5120	327	155	172
B01R14C07	1-7-14	Hs~MGC:BC032348.1~uORF:IOH21706	293	35	258
B01R14C08	1-8-14	Hs~MGC:BC032348.1~uORF:IOH21706	318	36	282
B01R14C09	1-9-14	Hs~Ref:NM_145183.1~uORF:IOH5614	399	39	360
B01R14C10	1-10-14	Hs~Ref:NM_145183.1~uORF:IOH5614	345	38	307
B01R14C11	1-11-14	Hs~Ref:NM_018431.3~uORF:IOH42147	327	34	293
B01R14C12	1-12-14	Hs~Ref:NM_018431.3~uORF:IOH42147	444	39	405
B01R14C13	1-13-14	Hs~Ref:NM_152721.2~uORF:IOH42262	518	44	474
B01R14C14	1-14-14	Hs~Ref:NM_152721.2~uORF:IOH42262	600	103	497
B01R14C15	1-15-14	Hs~Ref:NM_172175.1~uORF:IOH42096	214	64	150
B01R14C16	1-16-14	Hs~Ref:NM_172175.1~uORF:IOH42096	264	137	127
B01R14C17	1-17-14	Hs~Ref:NM_198483.1~uORF:IOH42754	846	55	791
B01R14C18	1-18-14	Hs~Ref:NM_198483.1~uORF:IOH42754	895	57	838
B01R14C19	1-19-14	Hs~MGC:BC034236.1~uORF:IOH21619	447	101	346
B01R14C20	1-20-14	Hs~MGC:BC034236.1~uORF:IOH21619	441	52	389
B01R14C21	1-21-14	Hs~Ref:NM_005092.2~uORF:IOH34742	279	51	228
B01R14C22	1-22-14	Hs~Ref:NM_005092.2~uORF:IOH34742	201	52	149
B01R15C01	1-1-15	Hs~Ref:NM_005142.2~uORF:IOH26056	258	37	221
B01R15C02	1-2-15	Hs~Ref:NM_005142.2~uORF:IOH26056	256	35	221
